Team,BGR,,Team,KAERI,,Team,NARI,,Team,NWMO,,Team,SSM-UU,,Team,SURAO,,Team,CNSC
Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture,,Problem,4-Fracture 
Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4,,Section,5.2.4
Sim ID,4BGR-DA,,Sim ID,4KAERI-DA,,Sim ID,4NARI-EP,,Sim ID,4NWMO-DA,,Sim ID,4SSM-UU-DA,,Sim ID,4SURAO-EA,,Sim ID,4CNSC-DA
Approach,DFN ADE,,Approach,DFN,,Approach,ECPM & Particle tracking,,Approach,DFN ADE (COMSOL),,Approach,DFN,,Approach,CPM with zero matrix porosity,,Approach,With COMSOL ver 6.0
,,,,,,,,,,,,,,,,,,conservative,
Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj,,Time [y],Tracer Cum_M_inj_out/Cum_M_inj
3.416423436,9.52E-01,,0.48,0,,5.82E-01,5.80E-03,,9.79E-04,-1.29E-34,,1.93E-05,-6.99E-73,,1.85,8.39E-01,,0.369102847,9.63E-21
3.759565779,9.58E-01,,0.49,0,,5.83E-01,5.90E-03,,0.00102278,-1.29E-34,,1.95E-05,-7.47E-73,,1.9,8.46E-01,,0.377214997,4.74E-20
4.137022357,9.62E-01,,0.5,0,,5.89E-01,6.00E-03,,0.00106679,-1.29E-34,,1.97E-05,-7.97E-73,,1.95,8.52E-01,,0.385327148,2.09E-19
4.552224593,9.66E-01,,0.51,0,,5.91E-01,6.10E-03,,0.0011108,-1.29E-34,,2.00E-05,-8.49E-73,,2,8.59E-01,,0.393439298,8.00E-19
5.008947052,9.70E-01,,0.52,0,,5.91E-01,6.20E-03,,0.00115481,-1.29E-34,,2.02E-05,-9.03E-73,,2.05,8.65E-01,,0.401551449,2.67E-18
5.511341758,9.73E-01,,0.53,0,,5.93E-01,6.30E-03,,0.001242831,-1.29E-34,,2.04E-05,-9.58E-73,,2.1,8.71E-01,,0.41777575,1.88E-17
6.063975933,9.76E-01,,0.54,0,,6.00E-01,6.40E-03,,0.001314941,-1.29E-34,,2.07E-05,-1.01E-72,,2.15,8.77E-01,,0.434000051,2.06E-17
6.671873527,9.79E-01,,0.55,0,,6.13E-01,6.50E-03,,0.001387052,-1.29E-34,,2.09E-05,-1.07E-72,,2.2,8.83E-01,,0.466448653,-2.57E-14
7.340560879,9.82E-01,,0.56,0,,6.16E-01,6.60E-03,,0.001459162,-1.29E-34,,2.11E-05,-1.13E-72,,2.25,8.89E-01,,0.498897255,-1.24E-13
8.076116967,9.84E-01,,0.57,0,,6.23E-01,6.70E-03,,0.001531273,-1.29E-34,,2.14E-05,-1.19E-72,,2.3,8.95E-01,,0.531345856,1.25E-11
8.885228664,9.87E-01,,0.58,0,,6.29E-01,6.80E-03,,0.001603384,-1.29E-34,,2.16E-05,-1.26E-72,,2.35,9.01E-01,,0.563794458,5.15E-09
9.775251531,9.89E-01,,0.59,0,,6.40E-01,6.90E-03,,0.001675494,-1.29E-34,,2.19E-05,-1.32E-72,,2.4,9.06E-01,,0.59624306,1.17E-06
10.75427668,9.90E-01,,0.6,0,,6.46E-01,7.00E-03,,0.001747605,-1.29E-34,,2.21E-05,-1.39E-72,,2.45,9.12E-01,,0.628691662,0.000066222
11.83120435,9.92E-01,,0.61,0,,6.54E-01,7.10E-03,,0.001891826,-1.29E-34,,2.24E-05,-1.46E-72,,2.5,9.17E-01,,0.661140264,0.0013784
13.01582479,9.93E-01,,0.62,0,,6.78E-01,7.20E-03,,0.00201186,-1.29E-34,,2.26E-05,-1.53E-72,,2.55,9.22E-01,,0.693588866,0.010137
14.31890727,9.94E-01,,0.63,0,,6.78E-01,7.30E-03,,0.002131893,-1.29E-34,,2.29E-05,-1.60E-72,,2.6,9.26E-01,,0.726037468,0.04272
15.75229799,9.96E-01,,0.64,0,,6.79E-01,7.40E-03,,0.002251927,-1.29E-34,,2.32E-05,-1.67E-72,,2.65,9.30E-01,,0.75848607,0.11766
17.32902779,9.96E-01,,0.65,0,,6.97E-01,7.50E-03,,0.002371961,-1.29E-34,,2.34E-05,-1.74E-72,,2.7,9.34E-01,,0.790934672,0.20581
19.06343057,9.97E-01,,0.66,0,,7.15E-01,7.60E-03,,0.002491995,-1.29E-34,,2.37E-05,-1.82E-72,,2.75,9.38E-01,,0.823383274,0.25666
20.97127363,9.98E-01,,0.67,0,,7.18E-01,7.70E-03,,0.002612029,-1.29E-34,,2.40E-05,-1.89E-72,,2.8,9.41E-01,,0.855831876,0.28934
23.06990099,9.98E-01,,0.68,0,,7.27E-01,7.80E-03,,0.002732063,-1.29E-34,,2.43E-05,-1.97E-72,,2.85,9.44E-01,,0.888280478,0.32205
25.37839109,9.99E-01,,0.69,0,,7.28E-01,7.90E-03,,0.002852097,-1.29E-34,,2.45E-05,-2.05E-72,,2.9,9.47E-01,,0.92072908,0.37374
27.9177302,9.99E-01,,0.7,0,,7.34E-01,8.00E-03,,0.003092164,-1.29E-34,,2.48E-05,-2.12E-72,,2.95,9.50E-01,,0.953177681,0.4622
30.71100322,9.99E-01,,0.71,0,,7.40E-01,8.10E-03,,0.003308225,-1.29E-34,,2.51E-05,-2.20E-72,,3,9.52E-01,,0.985626283,0.56896
33.78360354,1.00E+00,,0.72,0,,7.42E-01,8.20E-03,,0.003524286,-1.29E-34,,2.54E-05,-2.28E-72,,3.05,9.55E-01,,1.018074885,0.64885
37.16346389,1.00E+00,,0.73,0,,7.43E-01,8.30E-03,,0.003740347,-1.29E-34,,2.57E-05,-2.36E-72,,3.1,9.57E-01,,1.050523487,0.69967
40.88131028,1.00E+00,,0.74,0,,7.44E-01,8.40E-03,,0.003956408,-1.29E-34,,2.60E-05,-2.44E-72,,3.15,9.59E-01,,1.082972089,0.73581
44.97094131,1.00E+00,,0.75,0,,7.44E-01,8.50E-03,,0.004172469,-1.29E-34,,2.63E-05,-2.53E-72,,3.2,9.60E-01,,1.115420691,0.76493
49.46953544,1.00E+00,,0.76,0,,7.44E-01,8.60E-03,,0.00438853,-1.29E-34,,2.66E-05,-2.61E-72,,3.25,9.62E-01,,1.147869293,0.78832
54.41798899,1.00E+00,,0.77,0,,7.49E-01,8.70E-03,,0.004604591,-1.29E-34,,2.69E-05,-2.69E-72,,3.3,9.63E-01,,1.180317895,0.8076
59.86128789,1.00E+00,,0.78,0,,7.49E-01,8.80E-03,,0.004820652,-1.29E-34,,2.72E-05,-2.77E-72,,3.35,9.65E-01,,1.212766497,0.82399
65.84891668,1.00E+00,,0.79,0,,7.51E-01,8.90E-03,,0.005036713,-1.29E-34,,2.75E-05,-2.85E-72,,3.4,9.66E-01,,1.245215099,0.83839
72.43530834,1.00E+00,,0.8,0,,7.52E-01,9.00E-03,,0.005252774,-1.29E-34,,2.79E-05,-2.94E-72,,3.45,9.67E-01,,1.277663701,0.85128
